country_20230124,ISO,region,subregion,Income.Group.,retractions,citabledocuments_1996_2021,mean_democracy_2008_2021,ongoing_nonviolent_campaign,GDP_pc_mean_1960_2022,HDI_mean_1990_2021,industry_share_mean_1960_2022,length_of_last_leader_tenure_2015,muslim_proportion,top_universities_shanghai_2022,plurality
Republic of South Sudan,SSD,Africa,Sub-Saharan Africa,NA,0,220,NA,0,1378.475062,0.404083333,49.25038343,5,NA,0,NA
Republic of the Congo,COG,Africa,Sub-Saharan Africa,Lower middle ,4,5755,2.983076923,0,1216.378547,0.5345625,41.80253746,19,0.4,0,1
Romania,ROU,Europe,Eastern Europe,Upper middle ,153,244577,6.569230769,1,5954.014549,0.7588125,34.07925044,3,1.2,1,NA
Russian Federation,RUS,Europe,Eastern Europe,Upper middle ,2547,1432179,3.515384615,1,7118.152651,0.77165625,33.46037779,16,11.3,10,0
Rwanda,RWA,Africa,Sub-Saharan Africa,Low ,1,4948,3.249230769,0,317.5657048,0.438518519,16.96084684,22,8.6,0,0
Saint Helena,SHN,Africa,Sub-Saharan Africa,NA,0,57,NA,0,NA,NA,NA,NA,NA,0,NA
Saint Kitts and Nevis,KNA,Americas,Latin America and the Caribbean,High ,0,858,NA,0,7759.713081,0.767176471,21.71349748,NA,0,0,NA
Saint Lucia,LCA,Americas,Latin America and the Caribbean,Upper middle ,0,168,NA,0,6301.885929,0.71396875,11.43548045,NA,0,0,NA
Saint Pierre and Miquelon,SPM,Americas,Northern America,NA,0,6,NA,0,NA,NA,NA,NA,NA,0,NA
Saint Vincent and the Grenadines,VCT,Americas,Latin America and the Caribbean,Upper middle ,0,183,NA,0,3141.727678,0.735045455,16.14122594,NA,0,0,NA
Samoa,WSM,Oceania,Polynesia,NA,2,543,NA,0,2236.638338,0.699222222,21.79967335,NA,NA,0,NA
San Marino,SMR,Europe,Southern Europe,NA,0,437,NA,0,52278.87725,0.855,34.30434574,NA,NA,0,NA
Sao Tome and Principe,STP,Africa,Sub-Saharan Africa,NA,0,100,NA,0,1367.288142,0.540125,14.83005522,NA,0,0,NA
Saudi Arabia,SAU,Asia,Western Asia,NA,429,285929,1.897692308,0,11874.37576,0.78246875,54.78657601,19,98.8,7,NA
Senegal,SEN,Africa,Sub-Saharan Africa,Lower middle ,5,12495,5.856923077,0,815.2644834,0.43621875,21.02843955,4,91,0,0
Serbia,SRB,Europe,Southern Europe,Upper middle ,108,113652,6.457692308,1,5101.411742,0.748555556,28.35498802,2,0,2,NA
Seychelles,SYC,Africa,Sub-Saharan Africa,NA,0,870,NA,0,6387.875415,0.773863636,23.4931864,NA,0.3,0,NA
Sierra Leone,SLE,Africa,Sub-Saharan Africa,Low ,1,1646,4.626923077,0,280.8313633,0.38396875,18.17242672,9,39.4,0,0
Singapore,SGP,Asia,South-eastern Asia,High ,165,341165,6.076923077,0,22276.55218,0.86009375,28.2998915,12,17.4,3,1
Sint Maarten,SXM,Americas,Latin America and the Caribbean,NA,0,8,NA,0,31052.34526,NA,9.771064941,NA,NA,0,NA
Slovakia,SVK,Europe,Eastern Europe,High ,27,136388,7.237692308,0,12018.36061,0.79325,29.94854171,4,0,1,0
Slovenia,SVN,Europe,Southern Europe,High ,12,112235,7.646153846,0,19811.29085,0.867481481,29.16120663,2,1.5,1,0
Solomon Islands,SLB,Oceania,Melanesia,NA,0,646,NA,0,1100.417764,0.53573913,14.0684982,2,0,0,1
Somalia,SOM,Africa,Sub-Saharan Africa,NA,0,468,NA,0,179.8886991,NA,9.299633499,4,99.8,0,NA
South Africa,ZAF,Africa,Sub-Saharan Africa,Upper middle ,113,336951,7.522307692,0,3559.890237,0.66859375,31.30879057,7,1.3,9,0
South Georgia and the South Sandwich Islands,SGS,Americas,Latin America and the Caribbean,NA,0,19,NA,0,NA,NA,NA,NA,NA,0,NA
